[2025-12-29T12:26:09.921Z] [INFO] 🔧 Environment: DEVELOPMENT
[2025-12-29T12:26:09.922Z] [INFO] 🔧 NODE_ENV: undefined
[2025-12-29T12:26:09.922Z] [INFO] 🔧 RENDER: undefined
[2025-12-29T12:26:09.922Z] [INFO] 🔧 REACT_APP_API_URL: undefined
[2025-12-29T12:26:09.923Z] [INFO] 🔧 Local IP mode: true
[2025-12-29T12:26:10.157Z] [INFO] ✅ Socket.IO initialized with CORS
[2025-12-29T12:26:10.161Z] [ERROR] (node:27424) [MONGODB DRIVER] Warning: useNewUrlParser is a deprecated option: useNewUrlParser has no effect since Node.js Driver version 4.0.0 and will be removed in the next major version
(Use `node --trace-warnings ...` to show where the warning was created)
[2025-12-29T12:26:10.162Z] [ERROR] (node:27424) [MONGODB DRIVER] Warning: useUnifiedTopology is a deprecated option: useUnifiedTopology has no effect since Node.js Driver version 4.0.0 and will be removed in the next major version
[2025-12-29T12:26:10.163Z] [INFO] 🚀 Server running at http://localhost:3000
[2025-12-29T12:26:10.164Z] [INFO] Live match updater started
[2025-12-29T12:26:10.164Z] [INFO] Socket.IO instance connected: true
[2025-12-29T12:26:10.168Z] [INFO] [CIRCLE] Circle info updater started
[2025-12-29T12:26:10.181Z] [INFO] [BACKPACK] Backpack info updater started
[2025-12-29T12:26:10.227Z] [INFO] WebSocket client connected: wJUB71YaHbFrHAMvAAAC
[2025-12-29T12:26:10.303Z] [INFO] WebSocket client connected: ZOcEFUM6pXRpig_rAAAD
[2025-12-29T12:26:10.323Z] [INFO] WebSocket client connected: eb0m6Klog1-sg7hkAAAG
[2025-12-29T12:26:10.327Z] [INFO] WebSocket client connected: ihDfRScA6UOdJ3y3AAAH
[2025-12-29T12:26:10.339Z] [INFO] WebSocket client connected: MFkUZ-wVGV8TRevoAAAJ
[2025-12-29T12:26:10.354Z] [INFO] WebSocket client connected: 7DNFUgNI9p6HM6HMAAAO
[2025-12-29T12:26:10.362Z] [INFO] WebSocket client connected: _YqAOv-E0KNPcWR5AAAQ
[2025-12-29T12:26:10.376Z] [INFO] WebSocket client connected: nC1AVdG4T_LGzh3fAAAX
[2025-12-29T12:26:10.380Z] [INFO] WebSocket client connected: SDsKnmlNpGfyrWpnAAAZ
[2025-12-29T12:26:10.390Z] [INFO] WebSocket client connected: JUmBHwAz2QLveDlwAAAc
[2025-12-29T12:26:10.395Z] [INFO] WebSocket client connected: lmZlMjLzPKGB6rsAAAAe
[2025-12-29T12:26:10.403Z] [INFO] WebSocket client connected: iE3JKmiqH47s6WeYAAAi
[2025-12-29T12:26:10.406Z] [INFO] WebSocket client connected: jnykzd2rAgGCaMHlAAAj
[2025-12-29T12:26:10.415Z] [INFO] WebSocket client connected: -cU_EPz77-kNA0S7AAAp
[2025-12-29T12:26:10.455Z] [INFO] WebSocket client connected: G85M3JX9RzeZgGKYAAAu
[2025-12-29T12:26:10.464Z] [INFO] WebSocket client connected: BQpfd2jBh3dY3agnAAAx
[2025-12-29T12:26:10.473Z] [INFO] WebSocket client connected: FGsLg2mfLRAPMe8eAAA3
[2025-12-29T12:26:10.475Z] [INFO] WebSocket client connected: Vriv88XdtL6RnAsbAAA4
[2025-12-29T12:26:10.494Z] [INFO] WebSocket client connected: 7FY6P44phl7vC0lyAAA-
[2025-12-29T12:26:10.508Z] [INFO] WebSocket client connected: gbV43GG6f-p5tYHzAAA_
[2025-12-29T12:26:10.523Z] [INFO] WebSocket client connected: ZlHxTXd-xtkilODQAABF
[2025-12-29T12:26:10.525Z] [INFO] WebSocket client connected: fI-GQBPa_HPNgOwrAABG
[2025-12-29T12:26:10.536Z] [INFO] WebSocket client connected: jugjtyER489e19bhAABM
[2025-12-29T12:26:10.540Z] [INFO] WebSocket client connected: nSPqtUwtUupgnsQUAABO
[2025-12-29T12:26:10.548Z] [INFO] WebSocket client connected: s1ABbXh44jHu_PpnAABU
[2025-12-29T12:26:10.550Z] [INFO] WebSocket client connected: ItyLkFIyO5oaZlbfAABV
[2025-12-29T12:26:10.563Z] [INFO] WebSocket client connected: OLY4QFDcUhqZTOJhAABb
[2025-12-29T12:26:10.575Z] [INFO] WebSocket client connected: TiVcGi9nCthtswFKAABe
[2025-12-29T12:26:10.580Z] [INFO] WebSocket client connected: LYByyA2UTYFa5l5vAABh
[2025-12-29T12:26:10.587Z] [INFO] WebSocket client connected: aN5_VDvVqNousiBvAABk
[2025-12-29T12:26:10.592Z] [INFO] WebSocket client connected: PFPqOHa54wnQaKsdAABn
[2025-12-29T12:26:10.600Z] [INFO] WebSocket client connected: G8bI4ZQ0F3X1k4ogAABp
[2025-12-29T12:26:10.611Z] [INFO] WebSocket client connected: 7u8n24UGP4Ibwf6qAABt
[2025-12-29T12:26:10.613Z] [INFO] WebSocket client connected: 9UwSbWhRNd_eKI9GAABv
[2025-12-29T12:26:10.620Z] [INFO] WebSocket client connected: QpvyMVFpiJIj3LOKAAB0
[2025-12-29T12:26:10.625Z] [INFO] WebSocket client connected: wSKjXfFf8dACRrilAAB3
[2025-12-29T12:26:10.633Z] [INFO] WebSocket client connected: wzCqbWsuIrA84TUsAAB6
[2025-12-29T12:26:10.643Z] [INFO] WebSocket client connected: 3VEXPNd_BPMjCGgdAAB9
[2025-12-29T12:26:10.653Z] [INFO] WebSocket client connected: U8WMvt6rpPm1uSgkAACC
[2025-12-29T12:26:10.661Z] [INFO] WebSocket client connected: g_FYEps0DXlzlrDwAACF
[2025-12-29T12:26:10.669Z] [INFO] WebSocket client connected: wMdbUamK6JFIfXPjAACI
[2025-12-29T12:26:10.673Z] [INFO] WebSocket client connected: 06FCZk3Znq4GK57FAACK
[2025-12-29T12:26:10.683Z] [INFO] WebSocket client connected: OP8At3SVi0lm18zJAACN
[2025-12-29T12:26:10.710Z] [INFO] WebSocket client connected: pR2Si2Mzzb0zvshJAACT
[2025-12-29T12:26:10.723Z] [INFO] WebSocket client connected: qbVm78F7GPC8bNyBAACX
[2025-12-29T12:26:10.740Z] [INFO] WebSocket client connected: vy0anRLiu2xCZy1_AACa
[2025-12-29T12:26:10.755Z] [INFO] WebSocket client connected: 66VcGnwr3reGqV1oAACe
[2025-12-29T12:26:10.763Z] [INFO] WebSocket client connected: -7OaQilBX98niY4nAACh
